column_name,category_en,category_short_en,category_es,category_short_es
soct2,The Economy,Economy,La economía,Economía
idio2,The Economy,Economy,La economía,Economía
q10e,The Economy,Economy,La economía,Economía
fs2,The Economy,Economy,La economía,Economía
fs8,The Economy,Economy,La economía,Economía
ros4,The Economy,Economy,La economía,Economía
redist1,The Economy,Economy,La economía,Economía
redist2,The Economy,Economy,La economía,Economía
redist2a,The Economy,Economy,La economía,Economía
redist3,The Economy,Economy,La economía,Economía
cp2,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
cp6,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
cp7,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
cp8,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
cp13,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
cp20,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
prot3,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
vb2,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
vb10,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
vb20,Civic and Political Engagement,Civic Engagement,Participación cívica y política,Participación cívica
np1,Local Government,Local Government,Gobierno local,Gobierno local
sd2new2,Local Government,Local Government,Gobierno local,Gobierno local
sd3new2,Local Government,Local Government,Gobierno local,Gobierno local
sd6new2,Local Government,Local Government,Gobierno local,Gobierno local
infrax,Local Government,Local Government,Gobierno local,Gobierno local
b1,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b2,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b3,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b4,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b6,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b12,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b13,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b18,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b20,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b20a,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b21,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b21a,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b31,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b32,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b37,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
b47a,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
m1,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"Evaluación de instituciones, sistema política y otras personas",Evaluaciones
