column_name,question_short_es,question_short_en,question_es,question_en,category_en,category_short_en,category_es,category_short_es
a4,El problema mÌÁs importante,Most Important Problem,En su opiniÌ_n åÀcuÌÁl es el problema mÌÁs grave que estÌÁ enfrentando el paÌ_s? (No leer alternativas; Aceptar solo una respuesta),"In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)","Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
aoj11,PercepciÌ_n de inseguridad,Perception of Neighborhood Insecurity,"Hablando del lugar o el barrio donde usted vive y pensando en la posibilidad de ser vÌ_ctima de un asalto o robo, åÀusted se siente muy seguro(a), algo seguro(a), algo inseguro(a) o muy inseguro(a)?","Speaking of the neighborhood where you live and thinking of the possibility of being assaulted or robbed, do you feel very safe, somewhat safe, somewhat unsafe or very unsafe?","Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democrÌÁticas,Apoyo democrÌÁtico
aoj12,Confianza en que el sistema judicial castigue a culpables,Confidence that Judiciary will Punish the Guilty,"Si usted fuera vÌ_ctima de un robo o asalto, åÀcuÌÁnto confiarÌ_a que el sistema judicial castigue al culpable? ConfiarÌ_a...",If you were a victim of a robbery or assault how much faith do you have that the judicial system would punish the guilty?,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democrÌÁticas,Apoyo democrÌÁtico
b1,Cortes garantizan un juicio justo,Courts Guarantee Fair Trial,åÀHasta quÌ© punto cree usted que los tribunales de justicia de [paÌ_s] garantizan un juicio justo?,To what extent do you think the courts in (country) guarantee a fair trial?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b12,Confianza en las Fuerzas Armadas,Trust in Armed Forces,åÀHasta quÌ© punto tiene confianza usted en las Fuerzas Armadas?,To what extent do you trust the Armed Forces?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b13,Confianza en el Congreso Nacional,Trust in the National Legislature,åÀHasta quÌ© punto tiene confianza usted en el Congreso Nacional?,To what extent do you trust the National Congress?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b18,Confianza en la PolicÌ_a Nacional,Trust in National Police,åÀHasta quÌ© punto tiene confianza usted en la PolicÌ_a Nacional?,To what extent do you trust the National Police?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b2,Respeto a las instituciones,Respect for Political Institutions,åÀHasta quÌ© punto tiene usted respeto por las instituciones polÌ_ticas de [paÌ_s]?,To what extent do you respect the political institutions of (country)?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b21,Confianza en los partidos polÌ_ticos,Trust in Political Parties,åÀHasta quÌ© punto tiene confianza usted en los partidos polÌ_ticos?,To what extent do you trust the political parties?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b21a,Confianza en el ejecutivo,Trust in Executive,åÀHasta quÌ© punto tiene confianza usted en [el presidente/el primer ministro]?,To what extent do you trust the [President/Prime Minister]?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
